,fullname,points,position
316,AJ McCarron,0.12,QB
317,Alfred Blue,77.3,RB
318,David Fales,0.0,QB
319,TJ Jones,31.0,WR
320,Matt Hazel,0.0,WR
321,Quincy Enunwa,48.9,WR
322,Jay Prosch,0.0,RB
323,Garrett Gilbert,1.6,QB
324,Michael Campanaro,0.0,WR
325,Jeff Janis,0.0,WR
326,James Wright,0.0,WR
327,Trey Burton,93.1,TE
328,David Fluellen,1.6,RB
329,Kapri Bibbs,45.8,RB
330,Bennie Fowler,25.9,WR
331,Allen Hurns,41.5,WR
332,Stephen Morris,0.0,QB
333,Cody Parkey,122.0,K
334,Erik Swoope,26.7,TE
335,Brandon Coleman,0.0,WR
336,Je'Ron Hamm,0.0,TE
337,Seantavius Jones,0.0,WR
338,Philly Brown,0.0,WR
339,Marcus Lucas,0.0,TE
340,Jeremy Butler,0.0,WR
341,Isaiah Crowell,119.7,RB
342,Ryan Hewitt,6.1,TE
343,Willie Snead IV,72.4,WR
344,Charcandrick West,9.6,RB
345,Albert Wilson,70.78,WR
346,Freddie Martino,0.0,WR
347,Roosevelt Nix,4.2,RB
348,Bernard Reedy,0.0,WR
349,Chandler Catanzaro,84.0,K
350,Damien Williams,75.6,RB
351,Keith Smith,2.3,RB
352,Orleans Darkwa,0.0,RB
353,Xavier Grimble,6.6,TE
354,George Atkinson III,0.0,RB
355,Chris Boswell,93.08,K
356,Anthony Denham,0.0,TE
357,Seth Roberts,61.9,WR
358,Scott Simonson,14.6,TE
359,Tyler Ott,0.0,TE
360,Senorise Perry,0.0,RB
361,Cairo Santos,67.0,K
362,Taylor Gabriel,84.9,WR
363,Cameron Brate,62.9,TE
364,Branden Oliver,0.0,RB
365,Fitzgerald Toussaint,0.0,RB
366,Jerome Cunningham,0.0,TE
367,Chris Manhertz,11.2,TE
368,Jason Myers,151.0,K
369,Jameis Winston,209.78,QB
370,Marcus Mariota,182.92,QB
371,Amari Cooper,140.5,WR
372,Kevin White,9.2,WR
373,Todd Gurley II,313.1,RB
374,DeVante Parker,36.9,WR
375,Melvin Gordon III,225.5,RB
376,Nelson Agholor,101.4,WR
377,Breshad Perriman,46.2,WR
378,Phillip Dorsett,49.9,WR
379,T.J. Yeldon,118.1,RB
380,Devin Smith,0.0,WR
381,Devin Funchess,78.9,WR
382,Ameer Abdullah,0.9,RB
383,Maxx Williams,21.1,TE
384,Clive Walford,0.0,TE
385,Tyler Lockett,165.4,WR
386,Jaelen Strong,0.0,WR
387,Tevin Coleman,161.6,RB
388,Garrett Grayson,0.0,QB
389,Chris Conley,59.4,WR
390,Duke Johnson Jr.,85.0,RB
391,Tyler Kroft,3.6,TE
392,David Johnson,196.6,RB
393,Sammie Coates Jr.,1.2,WR
394,Sean Mannion,0.02,QB
395,Jeff Heuerman,40.1,TE
396,Ty Montgomery,46.3,RB
397,Matt Jones,0.0,RB
398,Bryce Petty,0.0,QB
399,Jamison Crowder,53.8,WR
400,Jeremy Langford,2.5,RB
401,Justin Hardy,25.3,WR
402,Jalston Fowler,0.0,RB
403,Blake Bell,6.7,TE
404,Vince Mayle,0.0,TE
405,Javorius Allen,58.6,RB
406,Mike Davis,102.8,RB
407,DeAndre Smelter,0.0,WR
408,Rashad Greene Sr.,4.0,WR
409,MyCole Pruitt,16.2,TE
410,Stefon Diggs,164.3,WR
411,Brett Hundley,0.0,QB
412,Jay Ajayi,38.4,RB
413,C.J. Uzomah,61.9,TE
414,J.J. Nelson,6.4,WR
415,Jesse James,54.3,TE
416,Kenny Bell,0.0,WR
417,Michael Burton,0.6,RB
418,Nick Boyle,21.3,TE
419,James O'Shaughnessy,21.4,TE
420,Cameron Artis-Payne,14.4,RB
421,Kaelin Clay,-2.0,WR
422,Geremy Davis,0.0,WR
423,Nick O'Leary,14.6,TE
424,Malcolm Johnson,0.0,RB
425,Randall Telfer,0.0,TE
426,A.J. Derby,10.8,TE
427,Darren Waller,9.6,TE
428,Aaron Ripkowski,0.0,RB
429,Neal Sterling,4.7,TE
430,Ben Koyack,0.0,TE
431,Marcus Murphy,27.6,RB
432,Tre McBride,0.0,WR
433,Geoff Swaim,30.2,TE
434,Trevor Siemian,0.0,QB
435,Rasheed Bailey,0.0,WR
436,Raheem Mostert,32.6,RB
437,Eric Tomlinson,7.2,TE
438,Eli Rogers,9.5,WR
439,Josh Lambo,87.0,K
440,Brian Parker,3.3,TE
441,Tyrell Williams,96.8,WR
442,Cameron Meredith,15.4,WR
443,Thomas Rawls,0.0,RB
444,Rod Smith,24.7,RB
445,Jordan Taylor,0.0,WR
446,Damiere Byrd,0.8,WR
447,Quan Bray,0.0,WR
448,Dres Anderson,0.0,WR
449,DeAndrew White,0.0,WR
450,Gannon Sinclair,0.0,TE
451,Shane Wynn,0.0,WR
452,Taylor Heinicke,16.9,QB
453,Jordan Leslie,0.0,WR
454,Corey Grant,10.7,RB
455,Trey Williams,0.0,RB
456,Akeem Hunt,0.0,RB
457,Matt LaCosse,31.0,TE
458,Zach Zenner,50.1,RB
459,Khari Lee,0.5,TE
460,John Crockett,0.0,RB
461,Wes Saxton,0.0,TE
462,DeAndre Carter,20.3,WR
463,Terrence Magee,0.0,RB
464,Gabe Holmes,0.0,TE
465,Jake Kumerow,16.3,WR
466,Matt Lengel,7.7,TE
467,Malcolm Brown,34.4,RB
468,Bradley Marquez,0.0,WR
469,Lucky Whitehead,0.0,WR
470,Darius Jennings,17.14,WR
471,Will Tye,0.0,TE
472,Tim Semisch,0.0,TE
473,Donteea Dye,0.0,WR
474,Adam Humphries,112.7,WR
475,Mack Brown,0.0,RB
476,Manasseh Garner,0.0,TE
477,Daniel Brown,0.0,TE
478,Kasen Williams,0.0,WR
479,Terrell Watson,0.0,RB
480,Bronson Hill,0.0,RB
481,Ross Travis,0.0,TE
482,Jared Goff,322.32,QB
483,Carson Wentz,199.66,QB
484,Ezekiel Elliott,252.1,RB
485,Corey Coleman,7.6,WR
486,Will Fuller V,74.3,WR
487,Josh Doctson,65.2,WR
488,Laquon Treadwell,36.2,WR
489,Paxton Lynch,0.0,QB
490,Hunter Henry,0.0,TE
491,Sterling Shepard,116.5,WR
492,Derrick Henry,186.36,RB
493,Michael Thomas,190.5,WR
494,Christian Hackenberg,0.0,QB
495,Tyler Boyd,145.1,WR
496,Roberto Aguayo,0.0,K
497,Kenyan Drake,153.2,RB
498,Austin Hooper,92.0,TE
499,Braxton Miller,0.0,WR
500,Leonte Carroo,16.8,WR
501,C.J. Prosise,1.9,RB
502,Jacoby Brissett,-0.62,QB
503,Cody Kessler,40.66,QB
504,Nick Vannett,44.9,TE
505,Connor Cook,0.0,QB
506,Chris Moore,27.3,WR
507,Tyler Higbee,41.2,TE
508,Malcolm Mitchell,0.0,WR
509,Ricardo Louis,0.0,WR
510,Pharoh Cooper,0.0,WR
511,Tyler Ervin,3.5,RB
512,Demarcus Robinson,52.8,WR
513,Kenneth Dixon,48.4,RB
514,Dak Prescott,293.9,QB
515,Devontae Booker,49.8,RB
516,Seth DeValve,13.4,TE
517,Cardale Jones,0.0,QB
518,Tajae Sharpe,45.2,WR
519,DeAndre Washington,10.4,RB
520,Paul Perkins,0.0,RB
521,Jordan Howard,160.0,RB
522,Wendell Smallwood,89.4,RB
523,Jonathan Williams,0.1,RB
524,Kevin Hogan,0.0,QB
525,Trevor Davis,0.0,WR
526,Tyreek Hill,247.0,WR
527,Alex Collins,93.6,RB
528,Rashard Higgins,79.2,WR
529,Andy Janovich,17.7,RB
530,Temarrick Hemingway,0.0,TE
531,Moritz Boehringer,0.0,TE
532,Keenan Reynolds,0.0,WR
533,Jerell Adams,0.0,TE
534,Jakeem Grant,51.3,WR
535,Nate Sudfeld,4.68,QB
536,David Morgan,3.6,TE
537,Jake Rudock,0.0,QB
538,Kolby Listenbee,0.0,WR
539,Danny Vitale,0.2,RB
540,Derek Watt,1.3,RB
541,Cody Core,24.0,WR
542,Brandon Allen,0.0,QB
543,Michael Thomas,0.0,WR
544,Jeff Driskel,87.12,QB
545,Aaron Burbridge,0.0,WR
546,Darius Jackson,1.6,RB
547,Rico Gathers,4.5,TE
548,Brandon Doughty,0.0,QB
549,Devin Lucien,0.0,WR
550,Demarcus Ayers,0.0,WR
551,Daniel Braverman,0.0,WR
552,Thomas Duarte,0.0,TE
553,Dwayne Washington,15.4,RB
554,Daniel Lasco II,0.0,RB
555,Devin Fuller,0.0,WR
556,Charone Peake,2.5,WR
557,Keith Marshall,0.0,RB
558,Beau Sandland,0.0,TE
559,Canaan Severin,0.0,WR
560,Jake McGee,0.0,TE
561,Braedon Bowman,0.0,TE
562,Kenneth Farrow,0.0,RB
563,Jamaal Jones,0.0,WR
564,Matt Weiser,0.0,TE
565,Dom Williams,0.0,WR
566,Kyle Carter,0.0,TE
567,Jhurell Pressley,0.0,RB
568,Joel Stave,0.0,QB
569,Peyton Barber,130.3,RB
570,Alan Cross,0.9,TE
571,Russell Hansbrough,0.0,RB
572,Hakeem Valles,1.1,TE
573,Josh Ferguson,0.0,RB
574,Mekale McKay,0.0,WR
575,Chester Rogers,64.1,WR
576,Tevaun Smith,0.0,WR
577,Mose Frazier,0.0,WR
578,Henry Krieger-Coble,0.0,TE
579,Kalif Raymond,0.0,WR
580,Maurice Harris,31.4,WR
581,Malachi Jones,0.0,WR
582,J.D. McKissic,0.8,RB
583,Joshua Perkins,6.7,TE
584,Nick Rose,0.0,K
585,Brandon Wilds,1.5,RB
586,J.P. Holtz,0.0,TE
587,Marcus Johnson,16.0,WR
588,Cayleb Jones,0.0,WR
589,Byron Marshall,3.9,RB
590,Hunter Sharp,0.0,WR
591,Paul Turner,0.0,WR
592,Rob Kelley,0.8,RB
593,Joe Kerridge,0.0,RB
594,Tra Carson,0.0,RB
595,Alex Erickson,16.9,WR
596,Alonzo Russell,0.0,WR
597,Taylor Bertolet,0.0,K
598,Aaron Green,0.0,RB
599,Geronimo Allison,42.3,WR
600,Joe Callahan,0.0,QB
601,David Grinnage,6.1,TE
602,Nelson Spruce,0.0,WR
603,Wil Lutz,151.0,K
604,Devon Cajuste,0.0,TE
605,Jace Billingsley,0.0,WR
606,Bryce Treggs,0.0,WR
607,Cole Wick,0.0,TE
608,Robby Anderson,106.4,WR
609,Stephen Anderson,0.0,TE
610,Jalin Marshall,0.0,WR
611,Ka'imi Fairbairn,170.0,K
612,Ross Martin,0.0,K
613,Tevin Jones,0.0,WR
614,Lawrence Thomas,0.0,RB
615,Jason Vander Laan,0.0,TE
616,Tre Madden,3.8,RB
617,Tanner McEvoy,0.0,WR
618,Marshall Koehn,0.0,K
619,Rashawn Scott,0.0,WR
620,Brandon Shippen,0.0,WR
621,Tommylee Lewis,11.0,WR
622,Roger Lewis Jr.,0.0,WR
623,Ryan Malleck,0.0,TE
624,K.J. Maye,0.0,WR
625,Darius Powe,0.0,WR
626,Josh Woodrum,0.0,QB
627,D.J. Foster,0.0,RB
628,Bryce Williams,0.0,TE
629,Andy Jones,14.0,WR
630,Marcus Tucker,0.0,WR
631,Elijhaa Penny,7.5,RB
632,Ben Braunecker,4.2,TE
633,Jonathan Brown,0.0,K
634,Alex Ellis,0.0,TE
635,Aldrick Rosas,141.0,K
636,C.J. Ham,9.3,RB
637,K.J. Brent,0.0,WR
638,Johnny Holton,0.0,WR
639,Max McCaffrey,0.0,WR
640,Ryan O'Malley,0.0,TE
641,Jaydon Mickens,0.0,WR
642,Jalen Simmons,0.0,RB
643,Jalen Richard,88.6,RB
644,Jake Lampman,0.0,WR
645,Austin Traylor,0.0,TE
646,Marquis Bundy,0.0,WR
647,Marvin Hall,20.9,WR
648,Garrett Griffin,0.0,TE
649,Sam Ficken,13.0,K
650,Kendal Thompson,0.0,WR
651,Troymaine Pope,0.0,RB
652,Cyril Grayson Jr.,0.0,WR
653,Mo Alie-Cox,25.3,TE
654,Mitchell Trubisky,275.02,QB
655,Leonard Fournette,98.4,RB
656,Corey Davis,118.6,WR
657,Mike Williams,137.2,WR
658,Christian McCaffrey,278.5,RB
659,John Ross,63.9,WR
660,Patrick Mahomes,429.08,QB
